ID,Bathrooms,Bedrooms,Size/Area,Type,price_in_millions,area,area2
351,4,4,350.0,House,24,Bahria Town Karachi,Bahria Town - Precinct 35
352,3,3,235.0,House,17,Bahria Town Karachi,Bahria Town - Precinct 31
353,3,3,75.0,House,10,Bahria Town Karachi,Bahria Greens
354,8,6,400.0,House,64,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 15
355,3,3,240.0,House,57,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 15
356,5,5,500.0,House,73,Malir,Falcon Complex New Malir
357,4,6,120.0,House,19,Gadap Town,Gulshan-e-Maymar
358,2,2,80.0,Flat,8,DHA Defence,Badar Commercial Area
359,3,3,235.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 27
360,3,3,125.0,House,16,Bahria Town Karachi,Bahria Town - Precinct 12
361,4,4,350.0,House,30,Bahria Town Karachi,Bahria Town - Precinct 35
362,4,4,350.0,House,28,Bahria Town Karachi,Bahria Town - Precinct 35
363,2,2,120.0,Flat,11,Bahria Town Karachi,Bahria Heights
364,2,2,120.0,Flat,11,Bahria Town Karachi,Bahria Heights
365,2,2,120.0,Flat,11,Bahria Town Karachi,Bahria Heights
366,3,3,152.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 11-A
367,3,3,200.0,House,26,Bahria Town Karachi,Bahria Town - Quaid Villas
368,3,3,200.0,House,22,Bahria Town Karachi,Bahria Town - Precinct 10-A
369,3,3,200.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 11-A
370,3,3,152.0,House,20,Bahria Town Karachi,Bahria Homes - Iqbal Villas
371,3,3,152.0,House,19,Bahria Town Karachi,Bahria Town - Precinct 11-B
372,5,5,400.0,Flat,42,Bahria Town Karachi,Bahria Town - Precinct 19
373,3,3,233.0,Flat,29,Bahria Town Karachi,Bahria Town - Precinct 19
374,6,6,500.0,House,140,DHA Defence,DHA Phase 8
375,5,5,56.0,House,102,DHA Defence,DHA Phase 5
376,5,5,375.0,House,62,Cantt,Askari 5 - Sector J
377,3,3,286.0,Flat,32,Cantt,Askari 5
378,5,5,377.0,House,72,Cantt,Askari 5 - Sector H
379,3,3,125.0,House,17,Bahria Town Karachi,Bahria Town - Precinct 12
380,6,6,240.0,House,37,Gadap Town,Gulshan-e-Maymar - Sector T
381,4,5,120.0,House,20,Scheme 33,Saadi Town - Block 5
382,3,3,144.0,Flat,14,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 10-A
383,2,2,197.0,Flat,78,DHA Defence,DHA Phase 8
384,3,3,125.0,House,16,Bahria Town Karachi,Bahria Town - Precinct 12
385,3,3,235.0,House,17,Bahria Town Karachi,Bahria Town - Precinct 31
386,2,2,120.0,Flat,12,Bahria Town Karachi,Bahria Heights
387,2,2,106.0,Flat,9,Bahria Town Karachi,Bahria Apartments
388,2,2,106.0,Flat,9,Bahria Town Karachi,Bahria Apartments
389,5,5,278.0,House,88,Clifton,Clifton - Block 9
390,2,2,83.0,Flat,8,Gulistan-e-Jauhar,Safoora Goth
391,4,4,233.0,Flat,29,Bahria Town Karachi,Bahria Town - Precinct 19
