Bathrooms,Bedrooms,Size/Area,price_in_millions,Flat,House,Lower Portion,Penthouse,Upper Portion,Airport Road,Al-Hilal Society,Amir Khusro,Bahria Town Karachi,Bath Island,Bin Qasim Town,Cantt,Civil Lines,Clifton,Cotton Export Cooperative Housing Society,DHA City Karachi,DHA Defence,Defence Garden,Defence View Society,Federal B Area,Frere Town,Gadap Town,Garden West,Gizri,Gohar Green City,Gulistan-e-Jauhar,Gulshan-e-Iqbal Town,Jamshed Town,Jinnah Avenue,KDA Scheme 1,Khalid Bin Walid Road,Khaliq-uz-Zaman Road,Korangi,Malir,Maskan Chowrangi,Mehmoodabad,Muslimabad Society,Navy Housing Scheme Karsaz,Naya Nazimabad,Nazimabad,North Karachi,North Nazimabad,Old Jamia Millia Road,P & T Colony,Rashid Minhas Road,Saadi Road,Scheme 33,Shadman 2,Shah Faisal Town,Shaheed Millat Road,Shahra-e-Faisal,Stadium Road,Super Highway,Tariq Road,Tipu Sultan Road
5,5,467.0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,289.0,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,500.0,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,500.0,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,375.0,62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,500.0,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,500.0,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,167.0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,500.0,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,167.0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
